date,count
2019-10-28,4
2019-10-29,10
2019-10-30,18
2019-10-31,23
2019-11-01,34
2019-11-02,41
2019-11-03,47
2019-11-04,55
2019-11-05,63
2019-11-06,74
2019-11-07,102
2019-11-08,112
2019-11-09,115
2019-11-10,116
2019-11-11,124
2019-11-12,130
2019-11-13,140
2019-11-14,149
2019-11-15,159
2019-11-16,162
2019-11-17,167
2019-11-18,173
2019-11-19,191
2019-11-20,217
2019-11-21,224
2019-11-22,251
2019-11-23,262
2019-11-24,275
2019-11-25,281
2019-11-26,287
2019-11-27,297
2019-11-28,315
2019-11-29,327
2019-11-30,334
2019-12-01,340
2019-12-02,352
2019-12-03,356
2019-12-04,373
2019-12-05,386
2019-12-06,402
2019-12-07,409
2019-12-08,414
2019-12-09,420
2019-12-10,427
2019-12-11,489
2019-12-12,497
2019-12-13,513
2019-12-14,524
2019-12-15,533
2019-12-16,549
2019-12-17,557
2019-12-18,607
2019-12-19,617
2019-12-20,649
2019-12-21,663
2019-12-22,679
2019-12-23,690
2019-12-24,697
2019-12-25,709
2019-12-26,721
2019-12-27,731
2019-12-28,739
2019-12-29,753
2019-12-30,770
2019-12-31,782
2020-01-01,800
2020-01-02,814
2020-01-03,829
2020-01-04,844
2020-01-05,855
2020-01-06,868
2020-01-07,884
2020-01-08,915
2020-01-09,939
2020-01-10,959
2020-01-11,986
2020-01-12,1005
2020-01-13,1025
2020-01-14,1046
2020-01-15,1100
2020-01-16,1221
2020-01-17,1248
2020-01-18,1263
2020-01-19,1281
2020-01-20,1304
2020-01-21,1336
2020-01-22,1374
2020-01-23,1424
2020-01-24,1439
2020-01-25,1476
2020-01-26,1509
2020-01-27,1539
2020-01-28,1558
2020-01-29,1581
2020-01-30,1598
2020-01-31,1616
2020-02-01,1631
2020-02-02,1647
2020-02-03,1674
2020-02-04,1690
2020-02-05,1718
2020-02-06,1742
2020-02-07,1753
2020-02-08,1783
2020-02-09,1807
2020-02-10,1826
2020-02-11,1839
2020-02-12,1852
2020-02-13,1865
2020-02-14,1879
2020-02-15,1898
2020-02-16,1909
2020-02-17,1918
2020-02-18,1946
2020-02-19,1965
2020-02-20,1976
2020-02-21,1990
2020-02-22,2001
2020-02-23,2017
2020-02-24,2028
2020-02-25,2060
2020-02-26,2075
2020-02-27,2096
2020-02-28,2117
2020-02-29,2120
2020-03-01,2134
2020-03-02,2142
2020-03-03,2152
2020-03-04,2173
2020-03-05,2184
2020-03-06,2201
2020-03-07,2213
2020-03-08,2228
2020-03-09,2243
2020-03-10,2257
2020-03-11,2269
2020-03-12,2287
2020-03-13,2299
2020-03-14,2308
2020-03-15,2319
2020-03-16,2343
2020-03-17,2356
2020-03-18,2376
2020-03-19,2400
2020-03-20,2423
2020-03-21,2435
2020-03-22,2457
2020-03-23,2478
2020-03-24,2490
2020-03-25,2521
2020-03-26,2542
2020-03-27,2554
2020-03-28,2581
2020-03-29,2609
2020-03-30,2652
2020-03-31,2692
2020-04-01,2720
2020-04-02,2736
